 

stn;time;tre200yx;tre200yn;tre200y0
BAS;1991;32.8;-13.7;10.0
BAS;1992;34.3;-9.2;10.7
BAS;1993;32.9;-12.0;10.2
BAS;1994;34.3;-7.6;11.5
BAS;1995;33.8;-10.0;10.5
BAS;1996;31.9;-15.0;9.4
BAS;1997;31.0;-12.2;10.7
BAS;1998;35.3;-8.8;10.8
BAS;1999;32.2;-14.2;10.9
BAS;2000;33.0;-10.6;11.8
BAS;2001;33.6;-13.0;10.7
BAS;2002;34.5;-10.0;11.2
BAS;2003;38.6;-11.2;11.4
BAS;2004;32.0;-10.7;10.6
BAS;2005;34.6;-14.7;10.4
BAS;2006;35.2;-8.6;10.9
BAS;2007;33.6;-8.5;11.3
BAS;2008;32.5;-6.7;10.8
BAS;2009;34.6;-16.0;11.1
BAS;2010;35.7;-11.3;9.9
BAS;2011;35.1;-7.9;11.6
BAS;2012;34.4;-19.3;10.9
BAS;2013;37.3;-11.1;10.3
BAS;2014;35.5;-13.4;11.9
BAS;2015;37.0;-7.2;11.7
BAS;2016;34.6;-7.1;10.9
BAS;2017;34.3;-10.5;11.4
BAS;2018;34.8;-11.1;12.2
BAS;2019;37.4;-5.9;11.6
BAS;2020;36.5;-4.5;12.1
BAS;2021;32.3;-11.9;10.6
BAS;2022;36.7;-9.1;12.5
BAS;2023;36.4;-7.4;12.6

