 

stn;time;sremaxdv;su2000d0
BAS;20230408;8;1.0
BAS;20230409;97;12.0
BAS;20230410;52;6.4
BAS;20230411;0;0.0
BAS;20230412;0;0.0
BAS;20230413;28;3.5
BAS;20230414;74;9.4
BAS;20230415;13;1.7
BAS;20230416;0;0.0
BAS;20230417;11;1.4
BAS;20230418;36;4.6
BAS;20230419;0;0.0
BAS;20230420;15;2.0
BAS;20230421;39;5.0
BAS;20230422;3;0.4
BAS;20230423;39;5.0
BAS;20230424;38;4.9
BAS;20230425;21;2.8
BAS;20230426;22;2.9
BAS;20230427;59;7.7
BAS;20230428;0;0.0
BAS;20230429;55;7.2
BAS;20230430;1;0.1
BAS;20230501;4;0.5
BAS;20230502;69;9.1
BAS;20230503;93;12.2
BAS;20230504;93;12.2
BAS;20230505;36;4.7
BAS;20230506;53;7.0
BAS;20230507;25;3.4
BAS;20230508;4;0.5
BAS;20230509;25;3.4
BAS;20230510;33;4.4
BAS;20230511;12;1.6
BAS;20230512;29;4.0
BAS;20230513;2;0.3
BAS;20230514;9;1.2
BAS;20230515;21;2.9
BAS;20230516;0;0.0
BAS;20230517;36;5.2
BAS;20230518;32;4.6
BAS;20230519;22;3.2
BAS;20230520;1;0.2
BAS;20230521;61;8.8
BAS;20230522;70;10.1
BAS;20230523;40;5.8
BAS;20230524;11;1.6
BAS;20230525;31;4.5
BAS;20230526;87;12.7
BAS;20230527;93;13.6
BAS;20230528;90;13.2
BAS;20230529;91;13.3
BAS;20230530;75;11.0
BAS;20230531;97;14.2
BAS;20230601;91;13.4
BAS;20230602;95;14.0
BAS;20230603;96;14.2
BAS;20230604;78;11.5
BAS;20230605;92;13.6
BAS;20230606;93;13.8
BAS;20230607;95;14.1
BAS;20230608;66;9.9
BAS;20230609;88;13.2
BAS;20230610;83;12.4
BAS;20230611;66;9.9
BAS;20230612;84;12.5
BAS;20230613;99;14.8
BAS;20230614;98;14.6
BAS;20230615;86;12.8
BAS;20230616;77;11.6
BAS;20230617;84;12.7
BAS;20230618;56;8.4
BAS;20230619;45;6.8
BAS;20230620;63;9.5
BAS;20230621;25;3.7
BAS;20230622;4;0.5
BAS;20230623;68;10.2
BAS;20230624;97;14.5
BAS;20230625;99;14.9
BAS;20230626;81;12.2
BAS;20230627;67;10.0
BAS;20230628;51;7.7
BAS;20230629;47;7.0
BAS;20230630;0;0.1
BAS;20230701;29;4.3
BAS;20230702;39;5.8
BAS;20230703;39;5.7
BAS;20230704;35;5.3
BAS;20230705;57;8.4
BAS;20230706;81;12.0
BAS;20230707;94;13.8
BAS;20230708;45;6.6
BAS;20230709;93;13.7
BAS;20230710;57;8.5
BAS;20230711;84;12.3
BAS;20230712;23;3.4
BAS;20230713;82;12.0
BAS;20230714;80;11.8
BAS;20230715;70;10.3
BAS;20230716;27;4.0
BAS;20230717;30;4.3
BAS;20230718;76;11.0
BAS;20230719;87;12.6
BAS;20230720;87;12.5
BAS;20230721;26;3.7
BAS;20230722;90;12.9
BAS;20230723;50;7.1
BAS;20230724;8;1.2
BAS;20230725;24;3.4
BAS;20230726;33;4.6
BAS;20230727;39;5.4
BAS;20230728;25;3.4
BAS;20230729;15;2.1
BAS;20230730;64;8.5
BAS;20230731;32;4.3
BAS;20230801;11;1.5
BAS;20230802;29;3.9
BAS;20230803;49;6.5
BAS;20230804;4;0.5
BAS;20230805;34;4.5
BAS;20230806;17;2.2
BAS;20230807;27;3.5
BAS;20230808;52;6.9
BAS;20230809;14;1.8
BAS;20230810;92;12.1
BAS;20230811;100;13.1
BAS;20230812;47;6.1
BAS;20230813;60;7.8
BAS;20230814;58;7.6
BAS;20230815;67;8.7
BAS;20230816;94;12.2
BAS;20230817;52;6.7
BAS;20230818;97;12.5
BAS;20230819;61;7.8
BAS;20230820;93;12.0
BAS;20230821;99;12.7
BAS;20230822;99;12.6
BAS;20230823;95;12.1
