# This table was created using https://gml.noaa.gov/grad/solcalc/ with the exact coordinates of the wather station
# https://gml.noaa.gov/grad/solcalc/table.php?lat=47.465147&lon=7.72504734&year=2024
# It was converted to csv using https://www.convertcsv.com/html-table-to-csv.htm

Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,08:17,07:56,07:09,07:07,06:12,05:36,05:36,06:07,06:48,07:29,07:13,07:56
2,08:17,07:55,07:07,07:05,06:10,05:35,05:37,06:09,06:50,07:30,07:15,07:57
3,08:17,07:53,07:05,07:03,06:09,05:35,05:38,06:10,06:51,07:31,07:16,07:59
4,08:17,07:52,07:03,07:01,06:07,05:34,05:38,06:11,06:52,07:33,07:18,08:00
5,08:16,07:51,07:01,06:59,06:06,05:34,05:39,06:13,06:54,07:34,07:19,08:01
6,08:16,07:49,06:59,06:57,06:04,05:33,05:40,06:14,06:55,07:35,07:21,08:02
7,08:16,07:48,06:57,06:55,06:03,05:33,05:40,06:15,06:56,07:37,07:22,08:03
8,08:16,07:46,06:55,06:53,06:01,05:33,05:41,06:16,06:58,07:38,07:24,08:04
9,08:15,07:45,06:53,06:51,06:00,05:32,05:42,06:18,06:59,07:40,07:25,08:05
10,08:15,07:43,06:51,06:49,05:58,05:32,05:43,06:19,07:00,07:41,07:27,08:06
11,08:15,07:42,06:49,06:48,05:57,05:32,05:44,06:20,07:02,07:42,07:28,08:07
12,08:14,07:40,06:47,06:46,05:56,05:32,05:45,06:22,07:03,07:44,07:30,08:08
13,08:14,07:39,06:45,06:44,05:54,05:31,05:46,06:23,07:04,07:45,07:31,08:09
14,08:13,07:37,06:43,06:42,05:53,05:31,05:47,06:24,07:06,07:47,07:33,08:10
15,08:12,07:36,06:41,06:40,05:52,05:31,05:48,06:26,07:07,07:48,07:34,08:10
16,08:12,07:34,06:39,06:38,05:51,05:31,05:49,06:27,07:08,07:50,07:36,08:11
17,08:11,07:32,06:37,06:36,05:49,05:31,05:50,06:28,07:10,07:51,07:37,08:12
18,08:10,07:31,06:35,06:34,05:48,05:31,05:51,06:30,07:11,07:53,07:39,08:12
19,08:10,07:29,06:33,06:33,05:47,05:32,05:52,06:31,07:12,07:54,07:40,08:13
20,08:09,07:27,06:31,06:31,05:46,05:32,05:53,06:32,07:14,07:55,07:42,08:14
21,08:08,07:25,06:29,06:29,05:45,05:32,05:54,06:34,07:15,07:57,07:43,08:14
22,08:07,07:24,06:27,06:27,05:44,05:32,05:55,06:35,07:16,07:58,07:44,08:15
23,08:06,07:22,06:25,06:25,05:43,05:33,05:56,06:36,07:18,08:00,07:46,08:15
24,08:05,07:20,06:23,06:24,05:42,05:33,05:58,06:38,07:19,08:01,07:47,08:15
25,08:04,07:18,06:21,06:22,05:41,05:33,05:59,06:39,07:20,08:03,07:48,08:16
26,08:03,07:16,06:19,06:20,05:40,05:34,06:00,06:40,07:22,08:04,07:50,08:16
27,08:02,07:14,06:17,06:18,05:39,05:34,06:01,06:42,07:23,07:06,07:51,08:16
28,08:01,07:13,06:15,06:17,05:39,05:35,06:02,06:43,07:24,07:07,07:52,08:16
29,08:00,07:11,06:13,06:15,05:38,05:35,06:04,06:44,07:26,07:09,07:54,08:17
30,07:59,,06:11,06:13,05:37,05:36,06:05,06:46,07:27,07:10,07:55,08:17
31,07:57,,07:09,,05:36,,06:06,06:47,,07:12,,08:17

