# This table was created using https://gml.noaa.gov/grad/solcalc/ with the exact coordinates of the wather station
# https://gml.noaa.gov/grad/solcalc/table.php?lat=47.465147&lon=7.72504734&year=2024
# It was converted to csv using https://www.convertcsv.com/html-table-to-csv.htm

Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,16:48,17:30,18:15,19:59,20:41,21:19,21:30,21:03,20:09,19:08,17:11,16:40
2,16:49,17:31,18:16,20:01,20:43,21:20,21:29,21:01,20:07,19:06,17:10,16:40
3,16:50,17:33,18:18,20:02,20:44,21:20,21:29,21:00,20:05,19:04,17:08,16:39
4,16:51,17:34,18:19,20:04,20:45,21:21,21:29,20:58,20:03,19:02,17:07,16:39
5,16:52,17:36,18:21,20:05,20:47,21:22,21:28,20:57,20:01,19:00,17:05,16:39
6,16:53,17:37,18:22,20:06,20:48,21:23,21:28,20:55,19:59,18:58,17:04,16:38
7,16:54,17:39,18:23,20:08,20:50,21:24,21:27,20:54,19:57,18:56,17:03,16:38
8,16:56,17:41,18:25,20:09,20:51,21:24,21:27,20:52,19:55,18:54,17:01,16:38
9,16:57,17:42,18:26,20:11,20:52,21:25,21:26,20:50,19:53,18:52,17:00,16:38
10,16:58,17:44,18:28,20:12,20:53,21:26,21:26,20:49,19:51,18:50,16:59,16:38
11,16:59,17:45,18:29,20:13,20:55,21:26,21:25,20:47,19:49,18:48,16:57,16:38
12,17:01,17:47,18:31,20:15,20:56,21:27,21:24,20:46,19:47,18:46,16:56,16:38
13,17:02,17:48,18:32,20:16,20:57,21:27,21:23,20:44,19:45,18:44,16:55,16:38
14,17:03,17:50,18:34,20:18,20:59,21:28,21:23,20:42,19:43,18:42,16:54,16:38
15,17:04,17:52,18:35,20:19,21:00,21:28,21:22,20:40,19:40,18:41,16:53,16:39
16,17:06,17:53,18:37,20:20,21:01,21:29,21:21,20:39,19:38,18:39,16:52,16:39
17,17:07,17:55,18:38,20:22,21:02,21:29,21:20,20:37,19:36,18:37,16:50,16:39
18,17:09,17:56,18:39,20:23,21:04,21:29,21:19,20:35,19:34,18:35,16:49,16:39
19,17:10,17:58,18:41,20:25,21:05,21:30,21:18,20:33,19:32,18:33,16:49,16:40
20,17:12,17:59,18:42,20:26,21:06,21:30,21:17,20:32,19:30,18:31,16:48,16:40
21,17:13,18:01,18:44,20:27,21:07,21:30,21:16,20:30,19:28,18:30,16:47,16:41
22,17:14,18:02,18:45,20:29,21:08,21:30,21:15,20:28,19:26,18:28,16:46,16:41
23,17:16,18:04,18:47,20:30,21:09,21:30,21:14,20:26,19:24,18:26,16:45,16:42
24,17:17,18:06,18:48,20:32,21:11,21:30,21:13,20:24,19:22,18:24,16:44,16:42
25,17:19,18:07,18:49,20:33,21:12,21:30,21:12,20:22,19:20,18:23,16:44,16:43
26,17:20,18:09,18:51,20:34,21:13,21:30,21:10,20:20,19:18,18:21,16:43,16:44
27,17:22,18:10,18:52,20:36,21:14,21:30,21:09,20:18,19:16,17:19,16:42,16:45
28,17:23,18:12,18:54,20:37,21:15,21:30,21:08,20:16,19:14,17:18,16:42,16:45
29,17:25,18:13,18:55,20:39,21:16,21:30,21:07,20:15,19:12,17:16,16:41,16:46
30,17:27,,18:56,20:40,21:17,21:30,21:05,20:13,19:10,17:14,16:41,16:47
31,17:28,,19:58,,21:18,,21:04,20:11,,17:13,,16:48

