 

stn;time;uto200s0;tre200s0;rre150z0;rco150z0;sre000z0
BAS;202304080000;6.4;5.8;0.0;0;0
BAS;202304080010;6.4;5.9;0.0;0;0
BAS;202304080020;6.5;5.6;0.0;0;0
BAS;202304080030;6.4;5.7;0.0;0;0
BAS;202304080040;6.3;5.6;0.0;0;0
BAS;202304080050;5.9;3.7;0.0;0;0
BAS;202304080100;5.9;4.4;0.0;0;0
BAS;202304080110;6.2;4.8;0.0;0;0
BAS;202304080120;6.0;3.8;0.0;0;0
BAS;202304080130;5.9;4.2;0.0;0;0
BAS;202304080140;6.0;4.1;0.0;0;0
BAS;202304080150;5.9;3.6;0.0;0;0
BAS;202304080200;5.7;3.0;0.0;0;0
BAS;202304080210;5.9;4.1;0.0;0;0
BAS;202304080220;5.9;3.7;0.0;0;0
BAS;202304080230;5.9;4.0;0.0;0;0
BAS;202304080240;6.1;4.2;0.0;0;0
BAS;202304080250;5.9;3.8;0.0;0;0
BAS;202304080300;5.7;3.5;0.0;0;0
BAS;202304080310;5.8;3.4;0.0;0;0
BAS;202304080320;5.9;3.6;0.0;0;0
BAS;202304080330;5.9;4.0;0.0;0;0
BAS;202304080340;6.2;4.4;0.0;0;0
BAS;202304080350;6.1;4.2;0.0;0;0
BAS;202304080400;6.2;4.5;0.0;0;0
BAS;202304080410;5.9;4.2;0.0;0;0
BAS;202304080420;5.9;3.9;0.0;0;0
BAS;202304080430;6.0;4.0;0.0;0;0
BAS;202304080440;5.9;3.7;0.0;0;0
BAS;202304080450;5.9;3.6;0.0;0;0
BAS;202304080500;5.9;3.5;0.0;0;0
BAS;202304080510;5.8;3.3;0.0;0;0
BAS;202304080520;5.9;3.5;0.0;0;0
BAS;202304080530;5.9;3.7;0.0;0;0
BAS;202304080540;5.9;3.7;0.0;0;0
BAS;202304080550;5.7;3.0;0.0;0;0
BAS;202304080600;5.9;3.9;0.0;0;0
BAS;202304080610;6.1;3.9;0.0;0;0
BAS;202304080620;6.0;4.1;0.0;0;0
BAS;202304080630;6.0;4.6;0.0;0;0
BAS;202304080640;6.2;4.9;0.0;0;0
BAS;202304080650;6.3;5.2;0.0;0;6
BAS;202304080700;6.5;5.5;0.0;0;10
BAS;202304080710;6.6;5.9;0.0;0;10
BAS;202304080720;6.3;5.6;0.0;0;10
BAS;202304080730;6.4;6.3;0.0;0;10
BAS;202304080740;6.4;6.7;0.0;0;10
BAS;202304080750;6.5;7.1;0.0;0;1
BAS;202304080800;6.3;7.1;0.0;0;0
BAS;202304080810;6.4;7.4;0.0;0;0
BAS;202304080820;6.4;7.6;0.0;0;2
BAS;202304080830;6.3;7.4;0.0;0;0
BAS;202304080840;6.3;7.5;0.0;0;0
BAS;202304080850;6.5;8.3;0.0;0;0
BAS;202304080900;6.5;8.5;0.0;0;0
BAS;202304080910;6.7;9.2;0.0;0;0
BAS;202304080920;6.5;8.9;0.0;0;0
BAS;202304080930;6.5;8.8;0.0;0;0
BAS;202304080940;6.7;9.6;0.0;0;0
BAS;202304080950;6.8;9.3;0.0;0;0
BAS;202304081000;6.7;9.4;0.0;0;0
BAS;202304081010;6.8;9.4;0.0;0;0
BAS;202304081020;6.7;9.6;0.0;0;0
BAS;202304081030;6.5;9.4;0.0;0;0
BAS;202304081040;6.8;10.2;0.0;0;0
BAS;202304081050;6.7;10.1;0.0;0;0
BAS;202304081100;6.6;10.4;0.0;0;0
BAS;202304081110;6.6;10.5;0.0;0;0
BAS;202304081120;6.6;10.1;0.0;0;0
BAS;202304081130;6.8;10.8;0.0;0;0
BAS;202304081140;7.2;11.5;0.0;0;0
BAS;202304081150;6.7;11.7;0.0;0;0
BAS;202304081200;6.5;11.5;0.0;0;0
BAS;202304081210;6.6;11.5;0.0;0;0
BAS;202304081220;6.7;12.3;0.0;0;0
BAS;202304081230;6.3;11.9;0.0;0;0
BAS;202304081240;6.5;11.9;0.0;0;0
BAS;202304081250;6.4;11.4;0.0;0;0
BAS;202304081300;6.3;11.4;0.0;0;0
BAS;202304081310;6.4;12.0;0.0;0;0
BAS;202304081320;6.0;11.8;0.0;0;0
BAS;202304081330;6.2;11.8;0.0;0;1
BAS;202304081340;6.3;12.0;0.0;0;0
BAS;202304081350;6.2;11.8;0.0;0;0
BAS;202304081400;6.5;11.7;0.0;0;0
BAS;202304081410;6.4;11.5;0.0;0;0
BAS;202304081420;6.2;11.3;0.0;0;0
BAS;202304081430;6.2;11.4;0.0;0;0
BAS;202304081440;6.4;11.7;0.0;0;0
BAS;202304081450;6.4;11.7;0.0;0;0
BAS;202304081500;6.2;11.8;0.0;0;0
BAS;202304081510;6.3;11.8;0.0;0;0
BAS;202304081520;6.1;11.9;0.0;0;0
BAS;202304081530;6.2;12.2;0.0;0;0
BAS;202304081540;5.9;12.0;0.0;0;0
BAS;202304081550;6.2;11.9;0.0;0;0
BAS;202304081600;6.2;11.7;0.0;0;0
BAS;202304081610;6.2;11.6;0.0;0;0
BAS;202304081620;6.0;11.6;0.0;0;0
BAS;202304081630;5.9;11.4;0.0;0;0
BAS;202304081640;6.1;11.3;0.0;0;0
BAS;202304081650;5.9;11.2;0.0;0;0
BAS;202304081700;6.0;11.2;0.0;0;0
BAS;202304081710;6.0;11.0;0.0;0;0
BAS;202304081720;6.0;11.1;0.0;0;0
BAS;202304081730;6.1;11.0;0.0;0;0
BAS;202304081740;6.4;10.8;0.0;0;0
BAS;202304081750;6.6;10.4;0.0;0;0
BAS;202304081800;6.6;10.4;0.0;0;0
BAS;202304081810;6.7;10.3;0.0;0;0
BAS;202304081820;6.7;10.2;0.0;0;0
BAS;202304081830;6.9;9.8;0.0;0;0
BAS;202304081840;6.8;9.9;0.0;0;0
BAS;202304081850;6.7;9.9;0.0;0;0
BAS;202304081900;6.7;9.7;0.0;0;0
BAS;202304081910;6.7;9.7;0.0;0;0
BAS;202304081920;6.7;9.7;0.0;0;0
BAS;202304081930;6.7;9.6;0.0;0;0
BAS;202304081940;6.8;9.6;0.0;0;0
BAS;202304081950;6.8;9.6;0.0;0;0
BAS;202304082000;6.9;9.3;0.0;0;0
BAS;202304082010;6.9;9.4;0.0;0;0
BAS;202304082020;6.9;9.4;0.0;0;0
BAS;202304082030;7.0;9.1;0.0;0;0
BAS;202304082040;7.0;9.1;0.0;0;0
BAS;202304082050;7.1;8.8;0.0;0;0
BAS;202304082100;7.1;9.1;0.0;0;0
BAS;202304082110;7.1;9.1;0.0;0;0
BAS;202304082120;7.0;9.0;0.0;0;0
